energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.592,157.969,0.521,0.122,0.535,0.0304,0.0
0.507,104.978,0.747,0.117,0.438,0.0358,0.0608
0.808,108.548,0.554,0.159,0.372,0.0368,0.0
0.91,112.966,0.67,0.304,0.786,0.0634,0.0
0.783,149.027,0.777,0.355,0.939,0.26,0.0
0.582,116.712,0.7,0.0881,0.785,0.0356,0.0
0.561,150.069,0.669,0.0954,0.841,0.0411,0.00962
0.247,148.101,0.467,0.17,0.126,0.0431,0.000271
0.416,94.926,0.492,0.203,0.297,0.0254,8.61e-05
0.722,119.973,0.769,0.111,0.57,0.0507,2.56e-06
0.667,130.019,0.776,0.0761,0.618,0.0983,0.3
0.586,107.071,0.669,0.104,0.579,0.054,0.0
0.806,104.032,0.608,0.191,0.587,0.0486,0.0
0.709,81.012,0.722,0.0804,0.604,0.0273,0.0
0.757,139.982,0.742,0.305,0.957,0.0421,0.0
0.917,100.987,0.562,0.488,0.501,0.117,0.0
0.787,109.939,0.734,0.312,0.672,0.116,0.0
0.843,122.064,0.619,0.164,0.746,0.0284,0.000118
0.406,115.94,0.53,0.133,0.338,0.033,0.0
0.782,119.992,0.727,0.225,0.655,0.042,0.336
0.812,80.09,0.505,0.444,0.664,0.461,0.0
0.76,103.969,0.701,0.185,0.69,0.0285,6.54e-05
0.725,116.988,0.894,0.0815,0.838,0.0432,1.15e-05
0.563,105.008,0.833,0.139,0.343,0.204,1.27e-05
0.628,119.98,0.757,0.221,0.321,0.101,0.0209
0.855,127.986,0.638,0.245,0.731,0.0264,0.0
0.62,117.038,0.741,0.0398,0.934,0.0412,0.000809
0.339,97.989,0.705,0.12,0.457,0.0278,0.0814
0.651,112.648,0.694,0.0787,0.471,0.0784,1.36e-05
0.601,123.994,0.635,0.11,0.332,0.0295,0.0
0.691,167.029,0.836,0.282,0.703,0.363,0.0
0.646,115.842,0.645,0.074,0.295,0.0427,3.04e-05
0.471,105.029,0.472,0.14,0.219,0.0603,0.0
